Key,Chinese,Vietnamese,,
common_day,天,Ngày,,
common_money_unit,元,đồng,,
common_confirm,确认,xác nhận,,
common_update,更新,Cập nhật,,
common_cancel,取消,hủy bỏ,,
common_refresh,刷新,Làm mới,,
common_understand,我知道了,tôi đã hiểu,,
common_name,姓名,Họ tên,,
common_loan_name,借款人姓名,Tên người vay,,
common_next,下一步,Bước tiếp theo,,
common_phone,手机号码,Số điện thoại,,
common_submit,提交,Nộp,,
common_input_placeholder,请输入,vui lòng nhập,,
common_phone_input_placeholder,请输入手机号,nhập số điện thoại,,
common_captcha_input_placeholder,请输入验证码,Nhập mã xác thực,,
common_campaign_code_input_placeholder,请输入推广码,Vui lòng nhập mã khuyến mãi,,
common_campaign_code,我有推广码,Tôi có mã khuyến mãi,,
common_select_placeholder,请选择,vui lòng chọn,,
common_get_captcha,获取验证码,Nhận mã xác thực,,
common_captcha,验证码,Mã xác thực,,
common_personal_info,个人资料,Thông tin cá nhân,,
common_id_card,身份证,Số CMND,,
common_authentication,身份验证,Xác thực danh tính,,
common_authenticationZalo,Zalo认证,Zalo Xác nhận,,
common_authenticationZaloPending,认证中,Đang xác nhận,,
common_authenticationZaloGo,去认证,Đến xác nhận,,
common_authenticationZaloSuccess,已认证,Đã xác nhận,,
common_authenticationZaloFail,认证失败，请重新认证, Xác nhận thất bại， vui lòng xác nhận lại,,
common_address_proof,住址证明,Địa chỉ hiện tại,,
common_driver_license,机动车驾驶证,Giấy phép lái xe,,
common_student_card,学生证,Thẻ sinh viên,,
common_payroll,工资单,Phiếu lương,,
common_living_payment,生活缴费,Phí thanh toán sinh hoạt,,
common_account_statement,银行流水,Sao kê tài khoản,,
common_bank,银行,Ngân hàng,,
common_bank_name,银行名称,Tên ngân hàng ,,
common_receive_bank_card,收款银行账号,Tài khoản nhận khoản vay,,
common_bank_branch_name,开户支行,Chi nhánh mở tài khoản,,
common_repay_bank_card,还款银行账号,Tài khoản thanh toán khoản vay,,
common_bank_card_no,账号,Số tài khoản,,
common_apply_datetime,申请时间,Ngày vay,,
common_apply_amount,申请金额,Số tiền vay,,
common_repay_amount,还款金额,Số tiền thanh toán,,
common_already_repay_amount,已还金额,Số tiền đã thanh toán,,
common_remaing_repay_amount,未还金额,Số tiền chưa thanh toán,,
common_arrive_amount,到账金额,số tiền nhận,,
common_apply_fee,手续费,phí dịch vụ,,
common_principal,本金,Tiền gốc,,
common_interest,利息,Lãi suất,,
common_time_limit,借款期限,Thời hạn vay,,
common_contract,借款合同,Hợp đồng vay,,
common_repay_mode,还款方式,Phương thức trả,,
common_order_id,订单编号,Mã đơn,,
common_lender_name,出借人,Người cho vay,,
common_period_days,借款天数,Thời hạn vay,,
common_day_rate,日利率,Lãi suất hàng ngày,,
common_overdue_fine,逾期手续费,Phí dịch vụ quá hạn,,
common_defer_rate,逾期日利率,Lãi quá hạn,,
common_defer_interest,逾期利息,Lãi quá hạn,,
common_necessary,必填,Bắt buộc,,
common_optional,选填,Lựa chọn,,
common_authenticate,去验证,Đến bước xác thực,,
common_authenticated,已验证,Đã xác thực,,
common_upload,去上传,Tải lên,,
common_uploaded,已上传,Đã tải lên,,
common_upload_success,上传成功,Tải lên thành công,,
common_agree,同意,Đồng ý,,
common_check,查看,Kiểm tra,,
common_apply,立即申请,Nộp ngay,,
common_repay,立即还款,Trả ngay,,
common_repay_audit,还款审核中,Đang xét duyệt khoản thanh toán,,
common_repay_failed,还款失败,Thanh toán thất bại,,
common_request_contact_permission,请您授权通讯录权限,Cho phép quyền truy cập từ danh bạ,,
common_status_auditing,审核中,Đang xét duyệt,,
common_status_audit_success,审核成功,Xét duyệt thành công,,
"common_status_audit_failed
",审核失败,Xét duyệt thất bại,,
common_status_reupload,重新提交,Tải lại,,
common_status_repay,已还清,Đã trả hết,,
common_province,省,Tỉnh,,
common_new_version,新版本,Phiên bản mới,,
common_new_version_desc,发现一个新版本,Tìm thấy một phiên bản mới,,
common_ignore,忽略,Bỏ qua,,
common_ignore_new_version_confirm_desc,新版本有更好的用户体验，您确认忽略吗?,"Phiên bản mới sẽ giúp người dùng có trải nghiệm tốt hơn, bạn chắc chắn muốn bỏ qua?",,
common_privacy_policy,隐私协议,Thỏa thuận bảo mật,,
error_read_contact_reject,无法获取联系人,Không thể liên hệ,,
error_phone_number,手机号码必须为数字,Số điện thoại bắt buộc là dãy số,,
error_captcha,验证码必须为数字,Mã xác thực bắt buộc là dãy số,,
error_identity,身份证号码必须为数字,Số CMND bắt buộc là dãy số,,
error_campaign_code,推广码无效,Mã khuyến mãi không còn hiệu lực,,
error_authenticate,身份验证失败，请重新验证,"Xác thực danh tính thất bại, mời xác thực lại",,
error_authenticate_first,请先进行身份验证,Vui lòng xác thực trước,,
welcome_title,欢迎来到{{appName}},Chào mừng bạn đến với {{appName}},,
welcome_desc,如果您使用我们的APP，我们将会收集以下信息。您提供的信息越完整，申请成功率越高。,"Nếu bạn sử dụng APP của chúng tôi, chúng tôi sẽ thu thập các thông tin dưới đây. Thông tin bạn cung cấp càng đầy đủ, tỉ lệ thông qua sẽ càng cao",,
welcome_collection_title,请同意我们收集如下信息，我们将保证您的数据安全:,Vui lòng cho phép chúng tôi thu thập các thông tin sau. Chúng tôi đảm bảo bảo mật dữ liệu của bạn:,,
welcome_device_info,设备信息,Device Information,,
welcome_contacts,通讯录,Contacts,,
welcome_geo,地理位置,Geographic Position,,
welcome_accept_desc,点击同意，表示您同意我们的隐私协议,"Nhấp vào Đồng ý, nghĩa là bạn đồng ý với Thỏa Thỏa thuận bảo mật chúng tôi.",,
login_title,登录,Đăng nhập,,
role_title,选择角色,Chọn chức vụ,,
role_student,学生,Sinh viên,,
role_staff,社会人员,Nhân viên,,
role_select_confirm,确认选择角色,Xác nhận chọn chức vụ,,
home_slogan,借款不用等，当天就到账,"Vay không cần đợi, Nhận tiền trong ngày",,
home_check_progress_button,查看进度,Xem tiến trình,,
home_status_incomplete,待完善,Đợi hoàn tất,,
home_status_complete,已完善,Đã hoàn tất,,
home_need_reapply,您有证件需要重新上传，重新上传后，订单将重新审核,"Bạn có tài liệu cần tải lên lại. Sau khi tải lên, yêu cầu vay sẽ được xét duyệt lại.",,
home_reapply_success,重新上传证件成功,Tải lại thành công,,
home_finish_reapply,您的申请将重新审核，请耐心等待,"Đề nghị vay lại của bạn đang được xét duyệt, vui lòng đợi",,
apply_title,贷款申请,Yêu cầu vay,,
apply_time_limit_title,期限选择,Lựa chọn thời hạn,,
apply_time_limit_subtitle,贷款期限(天),Thời hạn vay(ngày),,
apply_loan_usage,贷款用途,Mục đích vay,,
apply_max_amount_desc,您最多可以申请,Hạn mức cao nhất bạn có thể vay,,
apply_max_amount_tips_title,{{appName}}提示您,{{appName}} nhắc nhở bạn,,
apply_max_amount_tips_desc,随着您借款次数的增加并按规定时间还款，您的借款额度将不断提高。,"Tùy vào số lần vay và mức độ uy tín khi thanh toán đúng hạn, hạn mức vay của bạn sẽ không ngừng tăng lên.",,
apply_arrive_amount_tip_title,到账金额说明,Mô tả số tiền nhận được,,
apply_arrive_amount_tip,一次性收取{{applyFeeRate}}%手续费，并在放款时扣除。,Nhận 1 lần {{applyFeeRate}}%phí dịch vụ，Và được khấu trừ vào thời điểm cho vay。,,
apply_repay_amount,到期应还款(元),Số tiền phải trả (đồng),,
apply_repay_amount_tip_title,到期应还款说明,Mô tả khoản vay đến hạn cần trả,,
apply_repay_amount_tip,以下计算结果仅为试算，实际还款金额以最终还款计划为准。,Kết quả dưới đây là tính thử ，số tiền thực tế cần trả dựa vào kế hoạch trả nợ cuối cùng,,
apply_normal_repay,正常还款,thanh toán thông thường,,
apply_defer_repay,逾期还款,thanh toán quá hạn,,
